% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-9.275921052631576E-8;0.1437967837838513
-9.251052631578945E-8;0.1524532949877396
-9.226184210526313E-8;0.16144264982310963
-9.201315789473682E-8;0.1707693601619291
-9.17644736842105E-8;0.18043342600419796
-9.151578947368418E-8;0.19043484734991625
-9.126710526315787E-8;0.2007785127965557
-9.101842105263155E-8;0.21146268180546002
-9.076973684210523E-8;0.22248735437662925
-9.052105263157893E-8;0.2338525305100634
-9.027236842105261E-8;0.24555696367384267
-9.002368421052631E-8;0.2575907741922718
-8.977500000000001E-8;0.26995396206535077
-8.952631578947369E-8;0.28264652729307965
-8.927763157894738E-8;0.2956592153604102
-8.902894736842105E-8;0.3089719212687557
-8.878026315789472E-8;0.32258464501811634
-8.85315789473684E-8;0.33649738660849204
-8.828289473684208E-8;0.35069081044542527
-8.803421052631578E-8;0.3651323089742597
-8.778552631578948E-8;0.37982188219499535
-8.753684210526316E-8;0.39475953010763226
-8.728815789473684E-8;0.4099135707345703
-8.703947368421051E-8;0.42523643616269946
-8.679078947368419E-8;0.44072812639201975
-8.654210526315787E-8;0.45638864142253105
-8.629342105263155E-8;0.472171505264164
-8.604473684210525E-8;0.4880115715566347
-8.579605263157895E-8;0.5039088402999432
-8.554736842105263E-8;0.5198633114940895
-8.529868421052631E-8;0.5358111046063382
-8.504999999999998E-8;0.5516667550967533
-8.480131578947365E-8;0.5674302629653352
-8.455263157894734E-8;0.5831016282120836
-8.430394736842103E-8;0.5985968299005686
-8.405526315789472E-8;0.6138072869804596
-8.380657894736843E-8;0.6287329994517563
-8.355789473684211E-8;0.6433739673144587
-8.33092105263158E-8;0.657623229925912
-8.306052631578948E-8;0.6713463212120836
-8.281184210526316E-8;0.6845432411729737
-8.256315789473685E-8;0.697213989808582
-8.231447368421053E-8;0.7092258913760211
-8.206578947368421E-8;0.7204159650437483
-8.18171052631579E-8;0.7307842108117637
-8.156842105263158E-8;0.7403306286800672
-8.131973684210527E-8;0.7488941844652425
-8.107105263157895E-8;0.7562810120003062
-8.082236842105263E-8;0.7624911112852584
-8.057368421052632E-8;0.7675244823200992
-8.0325E-8;0.771189341091299
-8.007631578947368E-8;0.7732589461557542
-7.982763157894737E-8;0.7737332975134648
-7.957894736842105E-8;0.7726123951644307
-7.933026315789473E-8;0.7696716871571875
